ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,LIGHT,PROXIMITY (m),SOUND LEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time,YYYY-MO-DD HH-MI-SS_SSS
-0.335,1.723,9.452,24083,1,34.05,,,,NaN,,,,0 / 0,5,2018-11-20 15:30:25:180
-0.43,1.771,9.203,24931,1,34.05,,,,NaN,,,,0 / 0,105,2018-11-20 15:30:25:280
-0.105,1.312,9.634,25175,1,34.05,,,,NaN,,,,0 / 0,205,2018-11-20 15:30:25:380
-0.545,1.704,8.983,25024,1,28.16,,,,NaN,,,,0 / 0,305,2018-11-20 15:30:25:480
-1.168,1.695,8.734,24788,1,28.16,,,,NaN,,,,0 / 0,405,2018-11-20 15:30:25:580
-2.241,0.928,9.826,25325,1,28.16,,,,NaN,,,,0 / 0,505,2018-11-20 15:30:25:680
-0.948,0.555,8.686,26392,1,28.16,,,,NaN,,,,0 / 0,605,2018-11-20 15:30:25:780
-0.249,0.114,10.372,27473,1,49.22,,,,NaN,,,,0 / 0,705,2018-11-20 15:30:25:880
-0.641,-0.316,8.734,29125,1,49.22,,,,NaN,,,,0 / 0,805,2018-11-20 15:30:25:980
0.325,-2.806,8.696,31100,1,49.22,,,,NaN,,,,0 / 0,905,2018-11-20 15:30:26:080
-2.279,-3.601,8.217,34777,1,49.06,,,,NaN,,,,0 / 0,1006,2018-11-20 15:30:26:181
-0.555,-6.569,9.979,46356,1,49.06,,,,NaN,,,,0 / 0,1105,2018-11-20 15:30:26:280
1.187,-6.828,8.284,59393,1,49.06,,,,NaN,,,,0 / 0,1205,2018-11-20 15:30:26:380
0.335,-7.326,7.47,50558,1,43.94,,,,NaN,,,,0 / 0,1305,2018-11-20 15:30:26:480
1.024,-7.585,8.188,5656,0,43.94,,,,NaN,,,,0 / 0,1405,2018-11-20 15:30:26:580
3.955,-8.13,4.376,7400,0,43.94,,,,NaN,,,,0 / 0,1505,2018-11-20 15:30:26:680
1.331,-10.85,6.387,8719,0,44.1,,,,NaN,,,,0 / 0,1605,2018-11-20 15:30:26:780
0.9,-6.454,11.377,29246,1,44.1,,,,NaN,,,,0 / 0,1705,2018-11-20 15:30:26:880
3.284,-6.34,3.907,58375,1,44.1,,,,NaN,,,,0 / 0,1805,2018-11-20 15:30:26:980
4.472,-7.47,2.988,48041,1,34.85,,,,NaN,,,,0 / 0,1905,2018-11-20 15:30:27:080
5.755,-8.839,3.524,40214,1,34.85,,,,NaN,,,,0 / 0,2005,2018-11-20 15:30:27:180
2.873,-7.575,-2.423,41444,0,34.85,,,,NaN,,,,0 / 0,2105,2018-11-20 15:30:27:280
7.259,-7.853,0.373,3784,0,32.73,,,,NaN,,,,0 / 0,2205,2018-11-20 15:30:27:380
4.664,-4.932,-0.067,1717,0,32.73,,,,NaN,,,,0 / 0,2305,2018-11-20 15:30:27:480
6.598,-9.423,2.059,238,0,32.73,,,,NaN,,,,0 / 0,2406,2018-11-20 15:30:27:581
6.78,-6.723,1.455,239,0,33.83,,,,NaN,,,,0 / 0,2506,2018-11-20 15:30:27:681
5.573,-8.15,0.948,243,0,33.83,,,,NaN,,,,0 / 0,2606,2018-11-20 15:30:27:781
6.263,-8.111,1.58,255,0,33.83,,,,NaN,,,,0 / 0,2706,2018-11-20 15:30:27:881
5.209,-7.69,1.714,281,0,37.5,,,,NaN,,,,0 / 0,2806,2018-11-20 15:30:27:981
6.33,-9.069,1.13,324,0,37.5,,,,NaN,,,,0 / 0,2906,2018-11-20 15:30:28:081
2.739,-6.838,1.245,336,0,37.5,,,,NaN,,,,0 / 0,3006,2018-11-20 15:30:28:181
2.786,-9.557,0.344,353,0,37.5,,,,NaN,,,,0 / 0,3106,2018-11-20 15:30:28:281
5.669,-14.739,1.197,285,0,28.85,,,,NaN,,,,0 / 0,3205,2018-11-20 15:30:28:380
-0.536,-11.166,1.043,286,0,28.85,,,,NaN,,,,0 / 0,3305,2018-11-20 15:30:28:480
-0.66,-9.059,-0.229,296,0,28.85,,,,NaN,,,,0 / 0,3406,2018-11-20 15:30:28:581
-0.622,-9.874,0.095,294,0,42.86,,,,NaN,,,,0 / 0,3505,2018-11-20 15:30:28:680
-0.363,-9.443,0.277,288,0,42.86,,,,NaN,,,,0 / 0,3606,2018-11-20 15:30:28:781
0.861,-10.506,-0.229,269,0,42.86,,,,NaN,,,,0 / 0,3706,2018-11-20 15:30:28:881
-0.268,-9.577,-0.114,278,0,59.32,,,,NaN,,,,0 / 0,3806,2018-11-20 15:30:28:981
-0.124,-9.807,0.565,266,0,59.32,,,,NaN,,,,0 / 0,3906,2018-11-20 15:30:29:081
1.312,-10.094,0.181,259,0,59.32,,,,NaN,,,,0 / 0,4006,2018-11-20 15:30:29:181
-1.139,-9.059,-0.143,269,0,53.49,,,,NaN,,,,0 / 0,4106,2018-11-20 15:30:29:281
1.072,-10.812,0.45,278,0,53.49,,,,NaN,,,,0 / 0,4206,2018-11-20 15:30:29:381
-1.206,-9.27,0.699,288,0,53.49,,,,NaN,,,,0 / 0,4306,2018-11-20 15:30:29:481
-2.94,-13.57,3.553,361,0,43.19,,,,NaN,,,,0 / 0,4406,2018-11-20 15:30:29:581
-3.342,-6.416,-0.354,371,0,43.19,,,,NaN,,,,0 / 0,4506,2018-11-20 15:30:29:681
-2.154,-8.198,3.399,366,0,43.19,,,,NaN,,,,0 / 0,4606,2018-11-20 15:30:29:781
-1.043,-9.462,3.811,401,0,42.47,,,,NaN,,,,0 / 0,4706,2018-11-20 15:30:29:881
-1.11,-10.573,3.332,403,0,42.47,,,,NaN,,,,0 / 0,4805,2018-11-20 15:30:29:980
-1.283,-9.328,-1.426,412,0,42.47,,,,NaN,,,,0 / 0,4905,2018-11-20 15:30:30:080
-1.752,-10.18,-0.383,402,0,37.8,,,,NaN,,,,0 / 0,5005,2018-11-20 15:30:30:180
-1.426,-10.17,1.091,406,0,37.8,,,,NaN,,,,0 / 0,5106,2018-11-20 15:30:30:281
-1.733,-9.711,0.66,400,0,37.8,,,,NaN,,,,0 / 0,5206,2018-11-20 15:30:30:381
-1.072,-9.136,1.465,412,0,37.8,,,,NaN,,,,0 / 0,5305,2018-11-20 15:30:30:480
-1.417,-8.284,3.007,430,0,44.95,,,,NaN,,,,0 / 0,5405,2018-11-20 15:30:30:580
-1.723,-7.652,4.395,413,0,44.95,,,,NaN,,,,0 / 0,5505,2018-11-20 15:30:30:680
-1.197,-8.772,4.558,399,0,44.95,,,,NaN,,,,0 / 0,5605,2018-11-20 15:30:30:780
-2.691,-6.627,6.665,379,0,45.99,,,,NaN,,,,0 / 0,5705,2018-11-20 15:30:30:880
-1.666,-6.215,7.431,392,0,45.99,,,,NaN,,,,0 / 0,5806,2018-11-20 15:30:30:981
2.011,-8.533,5.669,363,0,45.99,,,,NaN,,,,0 / 0,5906,2018-11-20 15:30:31:081
0.584,-7.834,6.522,363,0,40.71,,,,NaN,,,,0 / 0,6006,2018-11-20 15:30:31:181
-1.35,-6.215,7.345,364,0,40.71,,,,NaN,,,,0 / 0,6106,2018-11-20 15:30:31:281
-0.881,-4.185,7.814,349,0,40.71,,,,NaN,,,,0 / 0,6206,2018-11-20 15:30:31:381
-2.403,-1.072,8.59,306,1,57.14,,,,NaN,,,,0 / 0,6305,2018-11-20 15:30:31:480
